Atom type,Coordinate-X,Coordinate-Y,Coordinate-Z,Mulliken charges,NPA charges,NMR Shielding
6,-4.08881,-1.89717,-0.88082,-0.272539,-0.39571,163.3072000000
6,-3.0266,-0.80211,-1.11301,-0.348541,-0.40744,157.9115500000
6,-1.67547,-1.17973,-0.47805,-0.195870,-0.49437,149.5945000000
6,-1.82686,-1.29561,1.06071,-0.375302,-0.40750,156.0061000000
6,-3.26124,-1.66806,1.49234,-0.256144,-0.39803,163.6840000000
15,-0.33757,-0.05371,-1.17334,0.184376,0.80995,238.5890000000
6,1.25032,-0.94035,-0.69784,-0.160397,-0.50480,148.3399000000
6,2.47361,-0.18147,-1.24537,-0.390024,-0.40969,157.9115500000
6,3.7258,-1.08025,-1.28206,-0.268374,-0.39614,162.4430000000
6,3.78472,-2.05823,-0.08609,-0.281934,-0.40121,166.9097500000
6,2.98809,-1.51796,1.10309,-0.241668,-0.39765,164.4082000000
6,1.49035,-1.42513,0.7574,-0.404503,-0.40915,154.3465000000
6,-0.54466,1.51782,-0.12619,-0.274958,-0.49593,152.2452000000
6,-0.54042,2.76277,-1.05551,-0.241746,-0.40568,154.2958000000
6,0.83506,3.42941,-1.09187,-0.317815,-0.40474,166.9097500000
6,1.20846,3.99593,0.29634,-0.274957,-0.39877,164.0013000000
6,0.53707,3.20496,1.43784,-0.286021,-0.39925,163.8615000000
6,0.41149,1.72312,1.07197,-0.324612,-0.40622,156.9699000000
1,-3.26786,-3.49185,0.35587,0.144126,0.19199,30.6505571429
1,-4.86946,-2.98172,0.84241,0.143280,0.20908,30.3875913043
1,-4.04101,-2.63178,-1.69104,0.142625,0.20142,30.3875913043
1,-5.08529,-1.44655,-0.93534,0.140468,0.20195,30.3875913043
1,-3.36863,0.1462,-0.68224,0.165197,0.18953,30.6505571429
1,-2.90528,-0.61794,-2.18295,0.161959,0.22052,30.3875913043
1,-1.40009,-2.16501,-0.87671,0.164780,0.21297,30.3875913043
1,-1.54553,-0.36037,1.55038,0.157515,0.19749,30.3875913043
1,-1.1323,-2.05201,1.43133,0.157824,0.20657,30.0925500000
1,-3.87387,-0.76338,1.58128,0.146867,0.19139,30.6505571429
1,-3.2404,-2.11914,2.4891,0.142966,0.20909,30.3875913043
1,1.15591,-1.83625,-1.32741,0.162923,0.21720,30.3875913043
1,2.67121,0.69654,-0.62426,0.158845,0.19272,30.3875913043
1,2.26137,0.20191,-2.24698,0.174173,0.22090,30.3875913043
1,4.61811,-0.44588,-1.2924,0.139461,0.20240,30.3875913043
1,3.7434,-1.64519,-2.2196,0.146286,0.20157,30.3875913043
1,3.36267,-3.02811,-0.37484,0.144201,0.19260,30.6505571429
1,4.82371,-2.25288,0.19458,0.143171,0.20913,30.3875913043
1,3.37167,-0.52831,1.37831,0.147920,0.19129,30.3875913043
1,3.12449,-2.15156,1.98489,0.143427,0.20981,30.6505571429
1,1.03946,-2.41553,0.86972,0.164133,0.20074,30.3875913043
1,0.99169,-0.7844,1.48146,0.176072,0.20704,29.9333000000
1,-1.56065,1.42305,0.27186,0.157731,0.21817,30.3875913043
1,-1.27705,3.48969,-0.69316,0.151286,0.19502,30.0925500000
1,-0.85968,2.47999,-2.06095,0.160060,0.22007,30.3875913043
1,1.57796,2.69072,-1.41101,0.155960,0.19589,30.6505571429
1,0.85792,4.2225,-1.84442,0.144538,0.21109,30.3875913043
1,0.9158,5.04868,0.36233,0.140328,0.20212,30.3875913043
1,2.29608,3.97327,0.42196,0.140899,0.19976,30.3875913043
1,1.10839,3.31976,2.36405,0.143407,0.20899,30.3875913043
1,-0.45957,3.61102,1.64424,0.154630,0.19290,30.6505571429
1,0.06256,1.14526,1.93106,0.159368,0.20952,30.3875913043
1,1.40903,1.34496,0.84216,0.136500,0.19170,30.3875913043
11,4.17514,0.48815,0.,0.786894,0.95144,574.0636000000
8,2.33927,-0.07481,0.,-1.068255,-1.39153,374.5511000000
1,1.42549,-0.35333,0.,0.281361,0.44009,34.3864000000
11,5.7194,-0.41089,0.,0.799293,0.94571,573.1631000000
8,4.34732,1.30252,0.,-0.597029,-0.81827,80.2010000000
8,2.14411,0.95292,0.,-0.431957,-0.70083,145.1766000000
8,3.55225,-0.7975,0.,-0.643988,-0.86388,76.6441000000
6,3.41744,0.46338,0.,0.546207,0.95435,4.0257000000
1,1.56639,0.17958,0.,0.327473,0.48292,27.0125000000
6,-0.35781,-0.02745,-0.01914,-0.210921,-0.24912,133.3665000000
8,0.99508,-0.40826,-0.21412,-0.477116,-0.69808,332.5834000000
1,-0.62133,0.05735,1.04387,0.120211,0.15609,28.4533000000
1,-0.97186,-0.8133,-0.45988,0.134576,0.18038,28.5624000000
1,-0.60386,0.91968,-0.51815,0.120214,0.15610,28.4533000000
1,1.55978,0.27198,0.16722,0.313036,0.45463,32.4491000000
